fps,ent_coef_loss,episodes,ep_rewmean,ent_coef,qf1_loss,qf2_loss,total timesteps,n_updates,entropy,current_lr,time_elapsed,mean 100 episode reward,policy_loss,value_loss,eplenmean
96,-8.826896,4,0.00017524999999999998,0.55687726,0.16096112,0.21203178,3336,2337,11.417825,0.00025,34,0.0,-54.18349,0.14403535,834.0
84,-21.405788,8,0.32020649999999995,0.24188244,0.10565104,0.03961573,6672,5673,11.361394,0.00025,78,0.3,-77.818855,0.053474784,834.0
77,-33.729927,12,0.21319174999999993,0.105207585,0.026255684,0.03268809,10008,9009,11.571507,0.00025,128,0.2,-79.130936,0.009684868,834.0
73,-45.31954,16,0.15962206249999997,0.045850538,0.029403625,0.046141014,13344,12345,10.762941,0.00025,182,0.2,-72.86226,0.0055156685,834.0
72,-57.27464,20,0.12714379999999997,0.020043792,0.0043609478,0.0022332978,16680,15681,10.935033,0.00025,230,0.1,-63.93506,0.0006629621,834.0
71,-61.550682,24,0.10638616666666667,0.00880316,0.07943258,0.4759179,20016,19017,10.334131,0.00025,281,0.1,-54.60844,0.0029058151,834.0
70,-64.007355,28,0.09075250000000001,0.0039671324,0.013018211,0.0046061818,23352,22353,9.730215,0.00025,329,0.1,-46.130066,0.0012350495,834.0
69,-81.555084,32,0.09272875,0.0017685674,0.0029510774,0.004594542,26688,25689,10.274783,0.00025,383,0.1,-39.091064,0.0021608656,834.0
69,-89.71789,36,0.08201569444444444,0.00077532843,0.00556967,0.0045666127,30024,29025,10.099003,0.00025,430,0.1,-33.242393,0.0062561906,834.0
68,-64.14388,40,0.073544425,0.0003458624,0.0070003127,0.0064567206,33360,32361,8.135655,0.00025,484,0.1,-28.211851,0.011019751,834.0
68,-41.75374,44,0.06657384090909091,0.00016018616,0.006755599,0.0058746906,36696,35697,8.907608,0.00025,535,0.1,-23.838161,0.0080989525,834.0
68,-85.06451,48,0.060834458333333334,7.662872e-05,0.0014807412,0.002138181,40032,39033,9.392474,0.00025,584,0.1,-20.257687,0.00068013143,834.0
68,281.9618,52,0.055958653846153845,0.00011659594,0.0036105695,0.0035065121,43368,42369,0.65725434,0.00025,630,0.1,-17.443102,0.005365174,834.0
68,201.3153,56,0.05170598214285714,0.00025872802,0.0033673379,0.0022205412,46704,45705,0.9931727,0.00025,677,0.1,-15.444941,0.008267616,834.0
69,132.28354,60,0.04807126666666666,0.00054204755,0.022378188,0.02143272,50040,49041,2.5131924,0.00025,717,0.0,-13.976128,0.0025875792,834.0
70,52.97264,64,0.044885046874999994,0.0010183179,0.014947079,0.012044866,53376,52377,4.039687,0.00025,762,0.0,-12.124832,0.019443799,834.0
69,27.890724,68,0.04201872058823529,0.0020869453,0.0153522855,0.013702929,56712,55713,4.5074015,0.00025,815,0.0,-10.325624,0.0045596864,834.0
69,-7.2378526,72,0.03949698611111111,0.0026597516,0.0035492443,0.003263555,60048,59049,7.0452385,0.00025,864,0.0,-8.886017,0.0028066619,834.0
69,5.5195556,76,0.03723635526315789,0.002412442,0.0030270186,0.0047404594,63384,62385,6.25896,0.00025,915,0.0,-7.886385,0.0017105672,834.0
68,-7.996045,80,0.0352129375,0.002795586,0.001851284,0.0015339995,66720,65721,6.595075,0.00025,969,0.0,-6.8980055,0.0015413556,834.0
69,-1.476876,84,0.03341422619047619,0.0027212359,0.003461626,0.0034626266,70056,69057,5.8917284,0.00025,1014,0.0,-6.305155,0.002858087,834.0
69,-3.2866802,88,0.031815170454545454,0.0032231035,0.0053775366,0.0062383376,73392,72393,7.3846197,0.00025,1060,0.0,-5.253438,0.0021022595,834.0
69,-5.7655735,92,0.030316489130434783,0.0026879928,0.0014213438,0.0013209456,76728,75729,6.3768015,0.00025,1105,0.0,-4.886936,0.0052819075,834.0
69,8.1052265,96,0.02889914583333333,0.0024287766,0.0036803635,0.0027888787,80064,79065,6.518184,0.00025,1151,0.0,-4.723468,0.0028471008,834.0
69,7.279802,100,0.02763525,0.0030596305,0.010357493,0.006902021,83400,82401,6.5990353,0.00025,1200,0.0,-4.8258295,0.009318871,834.0
69,2.1019762,104,0.027500529999999995,0.0026542847,0.010405379,0.0058626453,86736,85737,6.8587484,0.00025,1249,0.0,-4.055894,0.009710224,834.0
69,9.843525,108,0.0017879600000000008,0.0029749225,0.028272208,0.026749488,90072,89073,6.748459,0.00025,1302,0.0,-5.016411,0.021793032,834.0
69,6.419042,112,0.0017104800000000003,0.0030274834,0.014458591,0.017716069,93408,92409,6.2210464,0.00025,1344,0.0,-4.523738,0.01443399,834.0
69,6.084025,116,0.011672450000000001,0.0034395002,0.017414635,0.016192438,96744,95745,6.4774876,0.00025,1393,0.0,-5.2132454,0.015026497,834.0
67,1.8822036,120,0.011684960000000001,0.0040425407,0.010504853,0.009065762,100080,99081,7.2581086,0.00025,1480,0.0,-5.7547026,0.0056269066,834.0
67,-0.36292535,124,0.011491419999999999,0.0047852136,0.019556202,0.013954012,103416,102417,7.1857157,0.00025,1531,0.0,-5.490123,0.007530393,834.0
67,-3.1194434,128,0.011506019999999999,0.0038202896,0.014335314,0.013588382,106752,105753,6.8311853,0.00025,1580,0.0,-4.053434,0.013256047,834.0
67,8.517873,132,0.007124750000000001,0.0033969027,0.018590588,0.013270763,110088,109089,6.265579,0.00025,1638,0.0,-3.9108934,0.01300109,834.0
67,6.917801,136,0.00716333,0.0032294665,0.00777878,0.007085761,113424,112425,6.3481064,0.00025,1684,0.0,-3.6971688,0.0077443086,834.0
67,-5.243911,140,0.010775809999999999,0.0028879372,0.00694124,0.004584433,116760,115761,6.852617,0.00025,1733,0.0,-3.328723,0.0048259986,834.0
67,-3.8163362,144,0.025609820000000002,0.0024512527,0.006538749,0.0049010096,120096,119097,6.010908,0.00025,1782,0.0,-3.2240074,0.0036302335,834.0
67,0.4610951,148,0.02557511,0.0024657564,0.0073470147,0.0054618735,123432,122433,6.601019,0.00025,1836,0.0,-2.8765106,0.0066585704,834.0
67,-0.53955436,152,0.02558496,0.0023453934,0.00519919,0.0061507616,126768,125769,7.398947,0.00025,1879,0.0,-2.7269197,0.005269346,834.0
67,-7.4538627,156,0.04185371,0.0020298008,0.0034335158,0.0034528445,130104,129105,6.4249535,0.00025,1921,0.0,-2.4357426,0.0026747652,834.0
67,-1.0724795,160,0.04185316,0.0021250534,0.0029553133,0.0031858482,133440,132441,6.273799,0.00025,1969,0.0,-2.9709768,0.0069582807,834.0
67,-0.6800933,164,0.041892120000000005,0.0019379099,0.0026717233,0.0017550554,136776,135777,6.5222964,0.00025,2016,0.0,-2.570923,0.0028236695,834.0
67,-11.94314,168,0.041957440000000006,0.0017706854,0.002443052,0.002519958,140112,139113,6.322527,0.00025,2066,0.0,-2.5707774,0.005244024,834.0
67,7.1113257,172,0.052535069999999996,0.0017075496,0.0022472544,0.0014846162,143448,142449,6.5220795,0.00025,2116,0.1,-1.957212,0.0020290976,834.0
67,5.8573956,176,0.05255931999999999,0.0016604863,0.002091363,0.0016269258,146784,145785,6.7665796,0.00025,2171,0.1,-2.0597572,0.0021047904,834.0
67,3.4372425,180,0.05254963000000001,0.0015413925,0.0027214778,0.0041450853,150120,149121,7.251156,0.00025,2217,0.1,-1.7394993,0.00351506,834.0
67,0.9711754,184,0.05382032999999999,0.0013102448,0.020720491,0.019973084,153456,152457,6.7899265,0.00025,2262,0.1,-1.8745301,0.0013097441,834.0
67,11.850294,188,0.05379626,0.0011660913,0.0021795817,0.0011828673,156792,155793,5.686864,0.00025,2305,0.1,-1.9903119,0.0026314135,834.0
68,-2.9224548,192,0.05593959,0.0010341819,0.0025718173,0.0018718664,160128,159129,5.9863033,0.00025,2353,0.1,-1.9186095,0.0026716678,834.0
67,6.7053776,196,0.05598902999999999,0.00091730454,0.0015314037,0.0016960225,163464,162465,5.644499,0.00025,2403,0.1,-1.5701153,0.0020613736,834.0
67,-2.465754,200,0.056009430000000006,0.0009106813,0.0019888566,0.0013942607,166800,165801,7.1421905,0.00025,2453,0.1,-1.4967508,0.0021613028,834.0
67,-1.078939,204,0.05600929000000001,0.00083612785,0.0010691336,0.0010605024,170136,169137,6.174377,0.00025,2506,0.1,-1.477187,0.0012810117,834.0
67,9.802313,208,0.05600335,0.0007987611,0.0027914695,0.00330022,173472,172473,6.0757546,0.00025,2552,0.1,-1.5870719,0.0008320365,834.0
68,-1.1735616,212,0.06271697,0.000726508,0.0023745126,0.0017849642,176808,175809,6.0133457,0.00025,2597,0.1,-1.2816516,0.002281725,834.0
68,-3.0252042,216,0.06165361,0.0006679967,0.0030855793,0.0023406378,180144,179145,5.861597,0.00025,2639,0.1,-1.3448865,0.0021881552,834.0
68,3.2039905,220,0.06491973,0.0006565428,0.0008318323,0.000275475,183480,182481,6.9575257,0.00025,2684,0.1,-1.0812427,0.00027181424,834.0
68,2.6682587,224,0.06491587,0.0006049919,0.00079886254,0.0008559738,186816,185817,6.4797864,0.00025,2727,0.1,-1.1844201,0.0013718348,834.0
68,-19.712004,228,0.06490887000000001,0.0006124974,0.0022491962,0.0012208067,190152,189153,7.587682,0.00025,2771,0.1,-0.94751865,0.0032314933,834.0
68,-0.8465394,232,0.06488933999999999,0.00054639345,0.00092076935,0.00081705133,193488,192489,6.8111296,0.00025,2815,0.1,-1.0335317,0.002911006,834.0
68,1.7264845,236,0.0675848,0.00056430046,0.0011358319,0.00088646257,196824,195825,7.620608,0.00025,2859,0.1,-0.85310984,0.00052114355,834.0
